Size	Bubble Sort	SelectionSort	Insertion Sort	Merge Sort	Quick Sort
100K	4999950000	704982704	    99999	        1536196	    391372
110K	6049945000	1754977704	    109999	        1704915	    435775
120K	7199940000	7199940000	    119999	        1874202	    480912
130K	8449935000	8449935000	    129999	        2044486	    524026
140K	9799930000	9799930000	    139999	        2217606	    565997
150K	11249925000	11249925000	    149999	        2392319	    600335
160K	12799920000	12799920000	    159999	        2567233	    648777
170K	14449915000	14449915000	    169999	        2742998	    694274
180K	16199910000	16199910000	    179999	        2918842	    740824
190K	18049905000	18049905000	    189999	        3095327	    844055
